Problems,Difficulty,Solved,Notes (In Japanese)
"Two Pointers, Sliding Window",,,
Longest Repeating Character Replacement,Medium,○,尺取り法(Two Pointers/Sliding Window)を用いてO(N)で処理
Longest Substring Without Repeating Characters,Medium,○,尺取り法を用いてO(N)で処理
Minimum Size Subarray Sum,Medium,○,尺取り法を用いてO(N)で処理。累積和＋二分探索を用いてO(NlogN)に処理する方法もある
Get Equal Substrings Within Budget,Medium,○,rightはfor文で回して、leftはwhile文で調整する。costの計算はキューでO(1)でやらないとTLEする。
Permutation in String,Medium,,
Max Consecutive Ones,Easy,○,題意に従ってそのまま解く。
Max Consecutive Ones II,Medium,,
Max Consecutive Ones III,Medium,,
Container With Most Water,Medium,○,尺取り法を用いてO(N)で処理。横幅が大きい面積から処理していく。
Sort Colors,Medium,○,オランダ国旗問題と呼ばれる有名問題。色ごとのポインタを用いて処理する。
Interval List Intersections,Medium,○,Intersectionがある場合とない場合で分けて、Two Pointersで処理する。
3Sum,Medium,○,ソートした後、一番外側のループを回しつつ、内側の２変数はTwo Pointersで処理する。計算量はO(N^2)/O(1)となる。重複ペアの除外に注意。
3Sum Closest,Medium,○,ソートした後、一番外側のループを回しつつ、内側の２変数はTwo Pointersで処理する。計算量はO(N^2)/O(1)となる。
3Sum Smaller,Medium,○,上記の問題とほぼ同様。ただし、上記と同じ定数倍高速化をしようとすると、問題の設定上エラーとなることに注意。
Find the Duplicate Number,Medium,○,ランナーテクニックでフロイドの循環検出法を実装してO(N)で解く。二分探索だとO(NlogN)となる。
Minimum Window Substring,Hard,○,TがSに含まれるかどうかを辞書を用いて判定しつつ、Two PointerでO(N)で解く。
Sliding Window Maximum,Hard,,
Sliding Window Median,Hard,,
Longest Substring with At Most Two Distinct Characters,Hard,,
Longest Substring with At Most K Distinct Characters,Hard,,
,,,
"Greedy",,,
Meeting Rooms,Easy,○,開始時間でソートした後、前順にチェックしていく
Meeting Rooms II,Medium,○,開始時間でソートした後、heapで前順にチェックしていく(O(N)で済む)
Jump Game,Medium,○,到達可能な最大値を保存しつつ走査。GreedyにO(N)で解く。
Jump Game II,Hard,○,必ず最終地点に到達可能なことを利用し、Two Pointers+GreedyでO(N)で解く。
Campus Bikes,Medium,,
Campus Bikes II,Medium,,
Minimum Swaps to Make Strings Equal,Easy,○,問題文の例を参考にして、場合分けしてO(N)で解く。
String Without AAA or BBB,Medium,,
Minimum Domino Rotations For Equal Row,Medium,○,Counterはdefaultdictと同じく、存在しないキーの値は0を返すことに注意。
Partition Labels,Medium,○,最も右に現れるindexを保存する辞書を作り、それを用いつつTwo Pointersで貪欲に解く。
Reorganize String,Medium,,
Gas Station,Medium,,
Non-overlapping Intervals,Medium,,
Queue Reconstruction by Height,Medium,○,身長で降順ソート/前方許可人数で昇順ソートした後、前方許可人数に基づいて貪欲に列を構成する。
Remove K Digits,Medium,,
Remove Duplicate Letters,Hard,,
Merge Intervals,Medium,○,最初に開始時間でソートする。
Employee Free Time,Hard,○,Merge Intervalsとほぼ同じ問題。Employeeの区別はつけなくて良い。リスト内包表記の多重ループの書き方に気をつける。
Candy,Hard,○,Two-Passで貪欲に解く。One-Passでも解ける。
Patching Array,Hard,,
Minimum Number of K Consecutive Bit Flips,Hard,,
,,,
"Backtracking",,,
Permutations,Medium,○,バックトラッキングで解く。Subsetsと合わせて理解する。
Permutations II,Medium,○,バックトラッキングで解く。Subsetsと合わせて理解する。
Subsets,Medium,○,ビット演算、iterative、バックトラッキングのどれでも解ける。
Subsets II,Medium,○,iterative、バックトラッキングのどちらでも解ける。
Letter Combinations of a Phone Number,Medium,○,組み合わせ問題なのでバックトラック法で解く。
Generate Parentheses,Medium,○,計算量はカタラン数をスターリングの公式で近似したものになる。また、return/return None/returnなしはすべて同じ挙動となることに注意。
Palindrome Partitioning,Medium,,
Palindrome Partitioning II,Hard,,
Restore IP Addresses,Medium,,
N-Queens,Hard,,
N-Queens II,Hard,,
Valid Sudoku,Medium,○,各メソッドに分けて、題意をそれぞれチェックする。
Sudoku Solver,Hard,,
Generalized Abbreviation,Medium,,
Combinations,Medium,,
Combination Sum,Medium,○,バックトラッキングで解く。同じ要素を何回も使ってよいので、indexはi+1ではなくiを渡すことに注意。
Combination Sum II,Medium,○,バックトラッキングで解く。同じ要素は一回のみ使用可能なため、indexはi+1を渡すことに注意。
Combination Sum III,Medium,,
Combination Sum IV,Medium,,
,,,
Others(Design/SQL/Bash/Concurrency/etc),,,
Logger Rate Limiter,Easy,○,キューを用いて過去10秒以内のメッセージのみを保存する。
Number of Recent Calls,Easy,○,キューを使うと時間/空間計算量共にO(1)で毎回処理できる。
Implement Queue using Stacks,Easy,○,２つのスタックを用いてPushのみO(N)、他はO(1)で実装する
Implement Stack using Queues,Easy,,
Design Twitter,Medium,,
Flatten 2D Vector,Medium,,
Design Compressed String Iterator,Easy,,
Peeking Iterator,Medium,,
Zigzag Iterator,Medium,,
Design Phone Directory,Medium,,
Design Excel Sum Formula,Hard,,
Design In-Memory File System,Hard,,
Expression Add Operators,Hard,,
All O`one Data Structure,Hard,,
Design Hit Counter,Medium,○,timestampとヒット数を過去300秒分だけ保存する辞書を作り、O(1)で解く。
Design Log Storage System,Medium,,
Design Tic-Tac-Toe,Medium,○,プレイヤーの動きは毎回妥当だという事を利用する
The Skyline Problem,Hard,,
Guess the Word,Hard,,
Random Pick Index,Medium,,
Linked List Random Node,Medium,,
Random Pick with Blacklist,Hard,,
Random Flip Matrix,Medium,,
Random Point in Non-overlapping Rectangles,Medium,,
Random Pick with Weight,Medium,○,累積度数分布を作った後、二分探索でindexを求める。
Generate Random Point in a Circle,Medium,○,モンテカルロ法で解く。
Implement Rand10() Using Rand7(),Medium,○,上記の問題と同様。棄却サンプリングで解く。
Number of Boomerangs,Easy,○,三つ組の数え方に注意。iを固定した場合のjとkの組み合わせについて、全てのiに関して求める。
Check If It Is a Straight Line,Easy,○,傾きが等しくない場合はFalseとする。浮動小数点精度の誤差に注意する。
Line Reflection,Medium,○,反転した点があるか確認するための辞書を作ってO(N)で解く。
Minimum Area Rectangle,Medium,○,対角線上の点のみループで回して、他の２点は辞書でチェックしてO(N^2)で解く。
Minimum Area Rectangle II,Medium,○,内積が0かを確認するのと対角線側の点が存在することを確認し、対角線側の点は辞書でチェックしてO(N^3)で解く。
Max Points on a Line,Hard,○,傾きを辞書のキーとして用い、O(N^2)で処理していく。傾きが無限となる場合や、同じ座標の点がある場合に注意。
Erect the Fence,Hard,○,凸包を求める有名問題。ソートした後、上側凸包と下側凸包を外積を用いて求めていく。
Combine Two Tables,Easy,○,テーブルを結合して、それぞれの情報を抽出する。
Second Highest Salary,Easy,○,2番目に大きい値なので、最大値を除いた最大値を返す
Nth Highest Salary,Medium,○,LIMIT節では式は使えないことに注意。
Valid Phone Numbers,Easy,○,awk/grep/sed等、どれでも書ける
Tenth Line,Easy,○,awk/sed/head&tail等、どれでも書ける。ただ、head&tailは境界が紛らわしいのでawkとかの方が良いかも。
Word Frequency,Medium,○,sort/uniq等を上手く使って処理する。
Print in Order,Easy,○,バリア/イベント/ロック/セマフォ/コンディション等、様々な方法で排他制御ができる。
Building H2O,Medium,,
Print FooBar Alternately,Medium,○,バリア/イベント/ロック/セマフォ/コンディション等、様々な方法で排他制御ができる。
Print Zero Even Odd,Medium,,
